Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Buddy Carter ,Rep,3-Jan-15,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,
Carol Miller ,Rep,3-Jan-19,RepCarolMiller,RepCarolMiller,RepCarolMiller,RepCarolMiller,
Carolyn Maloney ,Rep,3-Jan-93,RepMaloney,RepMaloney,RepMaloney,RepMaloney,
Cathy McMorris Rodgers,Rep,3-Jan-05,CathyMcMorris,CathyMcMorris,CathyMcMorris,CathyMcMorris,
Cedric Richmond ,Rep,3-Jan-11,RepRichmond,RepRichmond,RepRichmond,RepRichmond,
Charlie Crist ,Rep,3-Jan-17,repcharliecrist,repcharliecrist,repcharliecrist,repcharliecrist,
Chellie Pingree ,Rep,3-Jan-09,ChelliePingree,ChelliePingree,ChelliePingree,ChelliePingree,
Cheri Bustos ,Rep,3-Jan-13,RepCheri,RepCheri,RepCheri,RepCheri,
Chip Roy ,Rep,3-Jan-19,RepChipRoy,RepChipRoy,RepChipRoy,RepChipRoy,
Chris Collins ,Rep,3-Jan-13,RepChrisCollins,RepChrisCollins,RepChrisCollins,RepChrisCollins,
Chris Pappas ,Rep,3-Jan-19,RepChrisPappas,RepChrisPappas,RepChrisPappas,RepChrisPappas,
Chris Stewart ,Rep,3-Jan-13,RepChrisStewart,RepChrisStewart,RepChrisStewart,RepChrisStewart,
Chrissy Houlahan ,Rep,3-Jan-19,RepHoulahan,RepHoulahan,RepHoulahan,RepHoulahan,
Christopher Smith ,Rep,3-Jan-81,RepChrisSmith,RepChrisSmith,RepChrisSmith,RepChrisSmith,
Chuck Fleischmann ,Rep,3-Jan-11,RepChuck,RepChuck,RepChuck,RepChuck,
Cindy Axne ,Rep,3-Jan-19,RepCindyAxne,RepCindyAxne,RepCindyAxne,RepCindyAxne,
Clay Higgins ,Rep,3-Jan-17,RepClayHiggins,RepClayHiggins,RepClayHiggins,RepClayHiggins,
Colin Allred ,Rep,3-Jan-19,RepColinAllred,RepColinAllred,RepColinAllred,RepColinAllred,
Collin Peterson ,Rep,3-Jan-91,collinpeterson,,,,collinpeterson
Conor Lamb ,Rep,12-Apr-18,RepConorLamb,RepConorLamb,RepConorLamb,RepConorLamb,
Dan Crenshaw ,Rep,3-Jan-19,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,
Dan Kildee ,Rep,3-Jan-13,RepDanKildee,RepDanKildee,RepDanKildee,RepDanKildee,
Dan Lipinski ,Rep,3-Jan-05,RepLipinski,RepLipinski,RepLipinski,RepLipinski,
Dan Meuser ,Rep,3-Jan-19,RepMeuser,RepMeuser,RepMeuser,RepMeuser,
Dan Newhouse ,Rep,3-Jan-15,RepNewhouse,RepNewhouse,RepNewhouse,RepNewhouse,
Daniel Webster ,Rep,3-Jan-11,RepWebster,RepWebster,RepWebster,RepWebster,
Danny K. Davis,Rep,3-Jan-97,RepDannyDavis,RepDannyDavis,RepDannyDavis,RepDannyDavis,
Darin LaHood ,Rep,10-Sep-15,RepLaHood,RepLaHood,RepLaHood,RepLaHood,
Darren Soto ,Rep,3-Jan-17,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,
Dave Loebsack ,Rep,3-Jan-07,DaveLoebsack,DaveLoebsack,DaveLoebsack,DaveLoebsack,
David Cicilline ,Rep,3-Jan-11,RepCicilline,RepCicilline,RepCicilline,RepCicilline,
David Joyce ,Rep,3-Jan-13,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,
David Kustoff ,Rep,3-Jan-17,repdavidkustoff,repdavidkustoff,repdavidkustoff,repdavidkustoff,
David McKinley ,Rep,3-Jan-11,RepMcKinley,RepMcKinley,RepMcKinley,RepMcKinley,
David Price ,Rep,3-Jan-97,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,
David Rouzer ,Rep,3-Jan-15,RepDavidRouzer,RepDavidRouzer,RepDavidRouzer,RepDavidRouzer,
David Schweikert ,Rep,3-Jan-13,RepDavid,RepDavid,RepDavid,RepDavid,
David Scott ,Rep,3-Jan-03,RepDavidScott,RepDavidScott,RepDavidScott,RepDavidScott,
David Trone ,Rep,3-Jan-19,repdavidtrone,repdavidtrone,repdavidtrone,repdavidtrone,
Dean Phillips ,Rep,3-Jan-19,RepDeanPhillips,RepDeanPhillips,RepDeanPhillips,RepDeanPhillips,
Deb Haaland ,Rep,3-Jan-19,RepDebHaaland,RepDebHaaland,RepDebHaaland,RepDebHaaland,
Debbie Dingell ,Rep,3-Jan-15,RepDebDingell,RepDebDingell,RepDebDingell,RepDebDingell,
Debbie Lesko ,Rep,7-May-18,RepDLesko,RepDLesko,RepDLesko,RepDLesko,
Debbie Mucarsel-Powell ,Rep,3-Jan-19,RepDMP,RepDMP,RepDMP,RepDMP,
Debbie Wasserman Schultz,Rep,3-Jan-05,RepDWStweets,RepDWStweets,RepDWStweets,RepDWStweets,
Dennis Heck ,Rep,3-Jan-13,RepDennyHeck,RepDennyHeck,RepDennyHeck,RepDennyHeck,
Denver Riggleman ,Rep,3-Jan-19,RepRiggleman,RepRiggleman,RepRiggleman,RepRiggleman,
